group	file	url	http	bytes	fetched
radix-themes	space.css	https://raw.githubusercontent.com/radix-ui/themes/main/packages/radix-ui-themes/src/styles/tokens/space.css	cached	394	2026-09-20T06:12:18Z
radix-themes	radius.css	https://raw.githubusercontent.com/radix-ui/themes/main/packages/radix-ui-themes/src/styles/tokens/radius.css	cached	902	2026-09-20T06:12:18Z
radix-themes	typography.css	https://raw.githubusercontent.com/radix-ui/themes/main/packages/radix-ui-themes/src/styles/tokens/typography.css	cached	7880	2026-09-20T06:12:18Z
radix-themes	scaling.css	https://raw.githubusercontent.com/radix-ui/themes/main/packages/radix-ui-themes/src/styles/tokens/scaling.css	cached	311	2026-09-20T06:12:18Z
radix-themes	shadow.css	https://raw.githubusercontent.com/radix-ui/themes/main/packages/radix-ui-themes/src/styles/tokens/shadow.css	cached	4433	2026-09-20T06:12:18Z
radix-themes	docs-spacing.mdx	https://raw.githubusercontent.com/radix-ui/website/main/data/themes/docs/theme/spacing.mdx	cached	1861	2026-09-20T06:12:18Z
radix-themes	docs-typography.mdx	https://raw.githubusercontent.com/radix-ui/website/main/data/themes/docs/theme/typography.mdx	cached	5024	2026-09-20T06:12:18Z
radix-themes	docs-color.mdx	https://raw.githubusercontent.com/radix-ui/website/main/data/themes/docs/theme/color.mdx	cached	11431	2026-09-20T06:12:18Z
radix-themes	docs-dark-mode.mdx	https://raw.githubusercontent.com/radix-ui/website/main/data/themes/docs/theme/dark-mode.mdx	cached	2133	2026-09-20T06:12:18Z
radix-themes	docs-shadows.mdx	https://raw.githubusercontent.com/radix-ui/website/main/data/themes/docs/theme/shadows.mdx	cached	984	2026-09-20T06:12:18Z
radix-themes	docs-radius.mdx	https://raw.githubusercontent.com/radix-ui/website/main/data/themes/docs/theme/radius.mdx	cached	2670	2026-09-20T06:12:18Z
tailwind	theme.css	https://raw.githubusercontent.com/tailwindlabs/tailwindcss/main/packages/tailwindcss/theme.css	cached	19586	2026-09-20T06:12:18Z
tailwind	preflight.css	https://raw.githubusercontent.com/tailwindlabs/tailwindcss/main/packages/tailwindcss/preflight.css	cached	8489	2026-09-20T06:12:18Z
tailwind	docs-theme.mdx	https://raw.githubusercontent.com/tailwindlabs/tailwindcss.com/main/src/docs/theme.mdx	cached	39855	2026-09-20T06:12:18Z
tailwind	docs-responsive.mdx	https://raw.githubusercontent.com/tailwindlabs/tailwindcss.com/main/src/docs/responsive-design.mdx	cached	19434	2026-09-20T06:12:18Z
tailwind	docs-colors.mdx	https://raw.githubusercontent.com/tailwindlabs/tailwindcss.com/main/src/docs/colors.mdx	cached	34411	2026-09-20T06:12:18Z
tailwind	docs-dark-mode.mdx	https://raw.githubusercontent.com/tailwindlabs/tailwindcss.com/main/src/docs/dark-mode.mdx	cached	7268	2026-09-20T06:12:18Z
carbon	docs-spacing-overview.mdx	https://raw.githubusercontent.com/carbon-design-system/carbon-website/main/src/pages/elements/spacing/overview.mdx	cached	8449	2026-09-20T06:12:18Z
